PrecursorMz	ProductMz	Tr_recalibrated	transition_name	CE	LibraryIntensity	transition_group_id	decoy	PeptideSequence	ProteinName	CompoundName	SumFormula	PrecursorCharge	LabelTyp
182.06725095438003	142.049	33.8837333333333	1_C6H7N5O2	-1	1.0	1_C6H7N5O2	1			C6H7N5O2	C6H7N5O2	1	light
182.06725095438003	183.075	33.8837333333333	2_C6H7N5O2	-1	0.0	1_C6H7N5O2	1			C6H7N5O2	C6H7N5O2	1	light
269.13326482553003	210.125	819.112125	5_C38H60O18	-1	0.7239130434782609	2_C38H60O18	1			C38H60O18	C38H60O18	3	light
269.13326482553003	154.062	819.112125	4_C38H60O18	-1	0.13260869565217392	2_C38H60O18	1			C38H60O18	C38H60O18	3	light
269.13326482553003	140.047	819.112125	3_C38H60O18	-1	0.09782608695652174	2_C38H60O18	1			C38H60O18	C38H60O18	3	light
269.13326482553003	252.136	819.112125	6_C38H60O18	-1	0.04565217391304348	2_C38H60O18	1			C38H60O18	C38H60O18	3	light
269.13326482553003	806.393	819.112125	7_C38H60O18	-1	0.0	2_C38H60O18	1			C38H60O18	C38H60O18	3	light
854.5694316236501	134.094	960.770722222222	8_C50H80NO8P	-1	0.6354961832061069	3_C50H80NO8P	1			C50H80NO8P	C50H80NO8P	1	light
854.5694316236501	178.12	960.770722222222	9_C50H80NO8P	-1	0.36450381679389315	3_C50H80NO8P	1			C50H80NO8P	C50H80NO8P	1	light
854.5694316236501	855.577	960.770722222222	10_C50H80NO8P	-1	0.0	3_C50H80NO8P	1			C50H80NO8P	C50H80NO8P	1	light
147.11280416447	85.089	36.6863333333333	12_C6H14N2O2	-1	0.8115353371242892	4_C6H14N2O2	1			C6H14N2O2	C6H14N2O2	1	light
147.11280416447	57.057	36.6863333333333	11_C6H14N2O2	-1	0.11860276198212835	4_C6H14N2O2	1			C6H14N2O2	C6H14N2O2	1	light
147.11280416447	131.094	36.6863333333333	13_C6H14N2O2	-1	0.06986190089358245	4_C6H14N2O2	1			C6H14N2O2	C6H14N2O2	1	light
147.11280416447	148.121	36.6863333333333	14_C6H14N2O2	-1	0.0	4_C6H14N2O2	1			C6H14N2O2	C6H14N2O2	1	light
309.16562758297	129.078	37.4367903225806	16_C12H24N2O7	-1	0.38086160884483417	5_C12H24N2O7	1			C12H24N2O7	C12H24N2O7	1	light
309.16562758297	131.094	37.4367903225806	17_C12H24N2O7	-1	0.2321768966831872	5_C12H24N2O7	1			C12H24N2O7	C12H24N2O7	1	light
309.16562758297	274.152	37.4367903225806	19_C12H24N2O7	-1	0.14449104079298514	5_C12H24N2O7	1			C12H24N2O7	C12H24N2O7	1	light
309.16562758297	226.131	37.4367903225806	18_C12H24N2O7	-1	0.13000381242851697	5_C12H24N2O7	1			C12H24N2O7	C12H24N2O7	1	light
309.16562758297	83.073	37.4367903225806	15_C12H24N2O7	-1	0.11246664125047655	5_C12H24N2O7	1			C12H24N2O7	C12H24N2O7	1	light
309.16562758297	310.173	37.4367903225806	20_C12H24N2O7	-1	0.0	5_C12H24N2O7	1			C12H24N2O7	C12H24N2O7	1	light
679.07184633743	204.063	44.2134385964912	21_C35H18O15	-1	0.5050556117290192	6_C35H18O15	1			C35H18O15	C35H18O15	1	light
679.07184633743	319.98	44.2134385964912	22_C35H18O15	-1	0.37664307381193124	6_C35H18O15	1			C35H18O15	C35H18O15	1	light
679.07184633743	500.037	44.2134385964912	23_C35H18O15	-1	0.11830131445904954	6_C35H18O15	1			C35H18O15	C35H18O15	1	light
132.07675300892	87.079	50.2218695652174	25_C4H9N3O2	-1	0.5640880858272163	7_C4H9N3O2	1			C4H9N3O2	C4H9N3O2	1	light
132.07675300892	91.063	50.2218695652174	28_C4H9N3O2	-1	0.308300395256917	7_C4H9N3O2	1			C4H9N3O2	C4H9N3O2	1	light
132.07675300892	59.073	50.2218695652174	24_C4H9N3O2	-1	0.088085827216262	7_C4H9N3O2	1			C4H9N3O2	C4H9N3O2	1	light
132.07675300892	89.058	50.2218695652174	27_C4H9N3O2	-1	0.039525691699604744	7_C4H9N3O2	1			C4H9N3O2	C4H9N3O2	1	light
132.07675300892	88.063	50.2218695652174	26_C4H9N3O2	-1	0.0	7_C4H9N3O2	1			C4H9N3O2	C4H9N3O2	1	light
132.07675300892	133.085	50.2218695652174	29_C4H9N3O2	-1	0.0	7_C4H9N3O2	1			C4H9N3O2	C4H9N3O2	1	light
229.11828346773	71.073	51.9200677966102	30_C10H16N2O4	-1	0.5679363274587834	8_C10H16N2O4	1			C10H16N2O4	C10H16N2O4	1	light
229.11828346773	143.094	51.9200677966102	33_C10H16N2O4	-1	0.259806708357021	8_C10H16N2O4	1			C10H16N2O4	C10H16N2O4	1	light
229.11828346773	133.073	51.9200677966102	32_C10H16N2O4	-1	0.12109152927799886	8_C10H16N2O4	1			C10H16N2O4	C10H16N2O4	1	light
229.11828346773	87.068	51.9200677966102	31_C10H16N2O4	-1	0.051165434906196704	8_C10H16N2O4	1			C10H16N2O4	C10H16N2O4	1	light
280.08156360584	105.115	46.4235342465753	34_C13H13NO6	-1	1.0	9_C13H13NO6	1			C13H13NO6	C13H13NO6	1	light
280.08156360584	281.089	46.4235342465753	35_C13H13NO6	-1	0.0	9_C13H13NO6	1			C13H13NO6	C13H13NO6	1	light
252.10777835368	87.068	50.2173396226415	36_C9H17NO7	-1	0.310634328358209	10_C9H17NO7	1			C9H17NO7	C9H17NO7	1	light
252.10777835368	91.063	50.2173396226415	37_C9H17NO7	-1	0.20833333333333334	10_C9H17NO7	1			C9H17NO7	C9H17NO7	1	light
252.10777835368	217.094	50.2173396226415	40_C9H17NO7	-1	0.17692786069651742	10_C9H17NO7	1			C9H17NO7	C9H17NO7	1	light
252.10777835368	133.073	50.2173396226415	39_C9H17NO7	-1	0.15640547263681592	10_C9H17NO7	1			C9H17NO7	C9H17NO7	1	light
252.10777835368	98.036	50.2173396226415	38_C9H17NO7	-1	0.14769900497512436	10_C9H17NO7	1			C9H17NO7	C9H17NO7	1	light
252.10777835368	253.116	50.2173396226415	41_C9H17NO7	-1	0.0	10_C9H17NO7	1			C9H17NO7	C9H17NO7	1	light
170.03865151013503	340.078	232.203415584416	42_C9H15N4O8P	-1	0.0	11_C9H15N4O8P	1			C9H15N4O8P	C9H15N4O8P	2	light
337.08124633601005	170.043	70.0862441860465	44_C10H16N4O7S	-1	0.9460227272727273	12_C10H16N4O7S	1			C10H16N4O7S	C10H16N4O7S	1	light
337.08124633601005	153.017	70.0862441860465	43_C10H16N4O7S	-1	0.05397727272727273	12_C10H16N4O7S	1			C10H16N4O7S	C10H16N4O7S	1	light
337.08124633601005	338.089	70.0862441860465	45_C10H16N4O7S	-1	0.0	12_C10H16N4O7S	1			C10H16N4O7S	C10H16N4O7S	1	light
130.04986955474	85.052	77.26725	47_C5H7NO3	-1	0.44419742107603377	13_C5H7NO3	1			C5H7NO3	C5H7NO3	1	light
130.04986955474	88.052	77.26725	48_C5H7NO3	-1	0.44419742107603377	13_C5H7NO3	1			C5H7NO3	C5H7NO3	1	light
130.04986955474	57.057	77.26725	46_C5H7NO3	-1	0.11160515784793242	13_C5H7NO3	1			C5H7NO3	C5H7NO3	1	light
130.04986955474	131.058	77.26725	49_C5H7NO3	-1	0.0	13_C5H7NO3	1			C5H7NO3	C5H7NO3	1	light
298.14376993958	73.089	57.6761308411215	51_C18H19NO3	-1	0.910665451230629	14_C18H19NO3	1			C18H19NO3	C18H19NO3	1	light
298.14376993958	56.062	57.6761308411215	50_C18H19NO3	-1	0.08933454876937101	14_C18H19NO3	1			C18H19NO3	C18H19NO3	1	light
298.14376993958	299.152	57.6761308411215	52_C18H19NO3	-1	0.0	14_C18H19NO3	1			C18H19NO3	C18H19NO3	1	light
175.02371437655	112.015	71.8845060240964	55_C6H6O6	-1	0.45909926470588236	15_C6H6O6	1			C6H6O6	C6H6O6	1	light
175.02371437655	140.01	71.8845060240964	56_C6H6O6	-1	0.22058823529411764	15_C6H6O6	1			C6H6O6	C6H6O6	1	light
175.02371437655	44.026	71.8845060240964	53_C6H6O6	-1	0.18428308823529413	15_C6H6O6	1			C6H6O6	C6H6O6	1	light
175.02371437655	88.015	71.8845060240964	54_C6H6O6	-1	0.13602941176470587	15_C6H6O6	1			C6H6O6	C6H6O6	1	light
175.02371437655	176.032	71.8845060240964	57_C6H6O6	-1	0.0	15_C6H6O6	1			C6H6O6	C6H6O6	1	light
429.02070701010996	177.986	72.7502658227848	58_C10H14N4O11P2	-1	0.4258312020460358	16_C10H14N4O11P2	1			C10H14N4O11P2	C10H14N4O11P2	1	light
429.02070701010996	238.007	72.7502658227848	60_C10H14N4O11P2	-1	0.4258312020460358	16_C10H14N4O11P2	1			C10H14N4O11P2	C10H14N4O11P2	1	light
429.02070701010996	194.017	72.7502658227848	59_C10H14N4O11P2	-1	0.1483375959079284	16_C10H14N4O11P2	1			C10H14N4O11P2	C10H14N4O11P2	1	light
429.02070701010996	430.029	72.7502658227848	61_C10H14N4O11P2	-1	0.0	16_C10H14N4O11P2	1			C10H14N4O11P2	C10H14N4O11P2	1	light
259.09246264271	128.058	75.8696666666667	64_C10H14N2O6	-1	0.2885615251299827	17_C10H14N2O6	1			C10H14N2O6	C10H14N2O6	1	light
259.09246264271	131.058	75.8696666666667	65_C10H14N2O6	-1	0.2885615251299827	17_C10H14N2O6	1			C10H14N2O6	C10H14N2O6	1	light
259.09246264271	217.094	75.8696666666667	66_C10H14N2O6	-1	0.2885615251299827	17_C10H14N2O6	1			C10H14N2O6	C10H14N2O6	1	light
259.09246264271	57.057	75.8696666666667	62_C10H14N2O6	-1	0.08232235701906412	17_C10H14N2O6	1			C10H14N2O6	C10H14N2O6	1	light
259.09246264271	111.031	75.8696666666667	63_C10H14N2O6	-1	0.05199306759098787	17_C10H14N2O6	1			C10H14N2O6	C10H14N2O6	1	light
